Month,SPPNorthPower_OnPeak,SPPNorthPower_OffPeak,SPPSouthPower_OnPeak,SPPSouthPower_OffPeak
1/1/2016,19.49846,16.91396,23.80181,21.166
2/1/2016,17.95803,13.62642,20.55887,17.39266
3/1/2016,15.29691,10.12557,18.77028,14.88424
4/1/2016,20.07798,12.69839,23.90886,17.19621
5/1/2016,20.40481,13.61314,23.11548,17.0005
6/1/2016,30.62312,19.43744,31.25629,23.00749
7/1/2016,31.68464,19.27502,33.60792,26.27487
8/1/2016,29.66991,19.46158,32.59341,23.69277
9/1/2016,24.04346,14.10821,36.78242,24.24581
10/1/2016,27.94404,18.71289,36.33302,25.54486
11/1/2016,24.83543,16.25829,26.71661,21.90698
12/1/2016,27.21836,20.28417,35.83606,29.60397
1/1/2017,24.35135,18.28626,31.24261,26.3059
2/1/2017,19.7379,13.84673,25.57387,20.25081
3/1/2017,20.92323,12.3395,29.29305,21.12868
4/1/2017,24.83777,14.37791,38.00024,26.48258
5/1/2017,24.44162,13.07201,35.13975,25.31741
6/1/2017,26.99276,16.69752,32.0345,21.39075
7/1/2017,36.08971,23.68016,35.9987,25.28941
8/1/2017,28.28222,19.25019,30.47276,22.31565
9/1/2017,23.95859,15.48189,28.75001,21.23155
10/1/2017,19.77217,10.4357,26.76292,16.95994
11/1/2017,24.52928,15.87694,24.85267,17.92991
12/1/2017,23.31218,19.31852,28.74362,22.26072
1/1/2018,31.53026,24.93582,33.10842,24.92225
2/1/2018,25.22284,15.64757,24.3159,18.48513
3/1/2018,23.17984,15.73432,22.18807,14.46226
4/1/2018,26.77384,20.26747,24.3973,18.64138
5/1/2018,31.67776,20.21183,30.64374,19.73314
6/1/2018,31.44987,18.66835,30.43506,19.76335
7/1/2018,34.41143,22.37566,34.1494,23.51505
8/1/2018,29.326,18.89169,29.55083,19.61624
9/1/2018,23.52475,16.06045,26.21202,18.84588
10/1/2018,30.96918,21.79447,35.36932,24.12439
11/1/2018,39.49961,24.39723,42.61637,27.7693
12/1/2018,27.47879,22.47837,31.35208,27.12335
1/1/2019,25.07649,19.81846,28.55231,21.54904
2/1/2019,29.96497,19.81318,27.48546,20.59077
3/1/2019,32.42332,24.21778,31.41812,22.37884
4/1/2019,26.88864,16.69072,24.78311,12.86687
5/1/2019,30.26362,18.90964,28.99737,18.05584
6/1/2019,25.74859,16.28447,27.62543,17.77858
7/1/2019,28.93449,17.61011,33.67589,20.4619
